119 1078 13965178021 10.33 3 62 6 
246 559 13965196897 12.0 0 48 4 
392 653 13965196957 17.67 1 53 3 
376 791 13965197006 6.38 2 51 8 
119 1081 13965197059 8.86 3 62 7 
246 568 13965215646 12.0 0 48 4 
392 663 13965215706 13.25 1 53 4 
375 800 13965215756 5.67 2 51 9 
119 1090 13965215805 8.86 3 62 7 
246 572 13965234798 12.0 0 48 4 
392 669 13965234857 10.6 1 53 5 
374 805 13965234908 7.29 2 51 7 
119 1100 13965234956 6.89 3 62 9 
247 597 13965269337 8.0 0 48 6 
387 699 13965269391 17.67 1 53 3 
373 823 13965269441 8.5 2 51 6 
117 1128 13965269496 10.33 3 62 6 
247 613 13965287401 12.0 0 48 4 
387 706 13965287459 26.5 1 53 2 
374 838 13965287528 8.5 2 51 6 
118 1123 13965287579 8.86 3 62 7 
247 606 13965306462 12.0 0 48 4 
388 709 13965306524 13.25 1 53 4 
374 838 13965306591 5.1 2 51 10 
117 1129 13965306650 8.86 3 62 7 
247 617 13965322901 9.6 0 48 5 
388 709 13965322957 13.25 1 53 4 
374 838 13965323012 5.1 2 51 10 
117 1139 13965323066 8.86 3 62 7 
247 623 13965340149 9.6 0 48 5 
388 709 13965340226 13.25 1 53 4 
374 838 13965340282 5.1 2 51 10 
117 1142 13965340337 8.86 3 62 7 
247 623 13965360194 9.6 0 48 5 
388 709 13965360253 0.0 1 0 4 
375 843 13965360334 3.92 2 51 13 
117 1144 13965360382 8.86 3 62 7 
247 623 13965376959 9.6 0 48 5 
375 843 13965377016 3.92 2 51 13 
118 1145 13965377072 8.86 3 62 7 
247 623 13965429470 0.0 0 0 5 
365 849 13965429562 17.0 2 51 3 
118 1145 13965429613 8.86 3 62 7 
365 849 13965477592 0.0 2 0 3 
118 1145 13965477674 0.0 3 0 6 
480 118 13966077012 12.0 0 48 4 
-1 -1 1414309257844 0.0 0 0 0 
480 118 13966176023 0.0 0 0 2 
